,DA,N,NFE,NP,PA,PR,coding,crossover,crowding_factor,crowding_selection,dimensions,distance_measure,function_name,method,mutation,p_c,p_m,run_number,run_time,subpopulation_size
41,0.004332606375586773,500.0,1600.0,10.0,0.004914031625787296,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,9.0,12.889678478240967,5.0
42,0.007289863374912234,500.0,22.0,81.0,0.015283096221760967,81.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,0.0,0.6663482189178467,5.0
43,1.3025855318186672,500.0,2062.0,3.0,1.1486995951005814,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,1.0,16.47902750968933,5.0
44,1.3392859678167846,500.0,2232.0,2.0,1.3099094579061816,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,2.0,18.019634246826172,5.0
45,1.3193975738379975,500.0,2090.0,5.0,1.2967231695913943,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,3.0,16.532089233398438,5.0
46,1.3178820944586693,500.0,2038.0,3.0,1.2909684202858234,3.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,4.0,18.639351844787598,5.0
47,1.2756627654081898,500.0,1828.0,7.0,0.7469942892100041,7.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,5.0,15.79200267791748,5.0
48,1.3154116954618176,500.0,1696.0,5.0,1.2685946948404498,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,6.0,13.779080867767334,5.0
49,1.3209276318263918,500.0,2326.0,2.0,1.3071920185608024,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,7.0,20.90701389312744,5.0
50,1.3181624715874936,500.0,2450.0,2.0,1.2962385947552373,2.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,8.0,21.72050642967224,5.0
51,1.2976353267350837,500.0,2000.0,5.0,1.077877005497068,5.0,bin,1,3.0,75.0,1.0,euclidean,TestFunctions.Deb4,most_similar_among_worst,1-point,0.1,0.1,9.0,16.15646767616272,5.0
52,0.751638198608589,500.0,3326.0,13.0,0.8781866020729979,2.6,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,0.0,29.329020261764526,5.0
53,0.8544878197068354,500.0,3724.0,4.0,1.8103681024488336,0.8,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,1.0,32.249828815460205,5.0
54,0.39974450348059887,500.0,2642.0,4.0,0.0017758039084513344,0.8,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,2.0,22.966078996658325,5.0
55,0.8801882345300909,500.0,3924.0,2.0,1.1153207378188847,0.4,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,3.0,34.10916805267334,5.0
56,0.26762171202743346,500.0,2078.0,6.0,0.9879805549274066,1.2,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,4.0,19.082141160964966,5.0
57,1.1655754060716603,500.0,3482.0,2.0,0.3948767797188303,0.4,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,5.0,30.015989065170288,5.0
58,0.2089111818541263,500.0,1906.0,4.0,0.015260144504761097,0.8,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,6.0,16.257405281066895,5.0
59,0.7822615169077619,500.0,2210.0,2.0,0.11552792661791966,0.4,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,7.0,18.979490041732788,5.0
60,0.9365784497174573,500.0,3452.0,2.0,1.9753860652939124,0.4,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,8.0,29.954649925231934,5.0
61,1.0361032001477342,500.0,3374.0,5.0,2.8301745317493254,1.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,worst_among_most_similar,1-point,0.1,0.1,9.0,28.91098666191101,5.0
62,0.76495860250433,500.0,3386.0,6.0,1.2084738690580787,6.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,0.0,28.851771593093872,5.0
63,0.553971998760901,500.0,3370.0,7.0,1.0748720118678161,7.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,1.0,29.009650230407715,5.0
64,0.9289845259553817,500.0,4326.0,3.0,0.6994898328923289,3.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,2.0,37.25099468231201,5.0
65,0.9310943479655256,500.0,4320.0,4.0,1.4579973056174826,4.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,3.0,36.8276731967926,5.0
66,0.7153189638564518,500.0,2806.0,4.0,0.7912894239005054,4.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,4.0,24.417685508728027,5.0
67,0.7073271547399501,500.0,2090.0,5.0,0.7653610834312947,5.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,5.0,18.005505084991455,5.0
68,0.002090530549739192,500.0,18.0,79.0,0.0017544497634975065,79.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,6.0,0.6444756984710693,5.0
69,0.7070991528235622,500.0,3568.0,4.0,0.8295397871873751,4.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,7.0,30.40370774269104,5.0
70,0.74894246090278,500.0,4398.0,5.0,0.5452031664727629,5.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,8.0,37.75632929801941,5.0
71,0.7760389676907882,500.0,4558.0,4.0,1.7095061938741527,4.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb4,worst_among_most_similar,1-point,0.1,0.1,9.0,39.06389570236206,5.0
72,0.003063973979400253,500.0,1402.0,11.0,0.002630159641651142,2.2,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,0.0,11.04488205909729,5.0
73,0.0019763653384912983,500.0,1430.0,10.0,0.0010273602483824584,2.0,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,1.0,11.218162536621094,5.0
74,0.0021270669962592803,500.0,1402.0,11.0,0.001152225129176676,2.2,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,2.0,10.926394939422607,5.0
75,0.003064194125196068,500.0,1606.0,13.0,0.002630699813225168,2.6,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,3.0,12.555250883102417,5.0
76,0.0029202258100164136,500.0,1414.0,12.0,0.0024535842474088243,2.4,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,4.0,11.097672462463379,5.0
77,0.003045968013783734,500.0,1476.0,9.0,0.002629004306081817,1.8,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,5.0,11.917851448059082,5.0
78,0.003062305049346542,500.0,1668.0,11.0,0.0026263624492539606,2.2,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,6.0,15.888582468032837,5.0
79,0.0029879184519847335,500.0,1458.0,11.0,0.0025389271439104633,2.2,bin,1,4.0,75.0,1.0,euclidean,TestFunctions.Deb1,most_similar_among_worst,1-point,0.1,0.1,7.0,12.538086175918579,5.0
